product_id,product_name,product_old_image,candidate_rank,candidate_file,score
10,"Chemise Oxford Blanche",/Assets/Images/products/product_10_russell_moore_dfk3z6fdn84_unsplash.jpg,2,arno-senoner-oCXVxwTFwqE-unsplash.jpg,26.67
10,"Chemise Oxford Blanche",/Assets/Images/products/product_10_russell_moore_dfk3z6fdn84_unsplash.jpg,3,lucrezia-carnelos-6n4Y0oVz1oU-unsplash.jpg,26.21
10,"Chemise Oxford Blanche",/Assets/Images/products/product_10_russell_moore_dfk3z6fdn84_unsplash.jpg,4,zoshua-colah-eMMLDnWoR_I-unsplash.jpg,25.45
10,"Chemise Oxford Blanche",/Assets/Images/products/product_10_russell_moore_dfk3z6fdn84_unsplash.jpg,5,nimble-made-GDebkNryTd4-unsplash.jpg,25
11,"T-Shirt Col V Premium",/Assets/Images/products/product_11_zoshua_colah_emmldnwor_i_unsplash.jpg,1,zoshua-colah-eMMLDnWoR_I-unsplash.jpg,29.29
11,"T-Shirt Col V Premium",/Assets/Images/products/product_11_zoshua_colah_emmldnwor_i_unsplash.jpg,2,jj-shev-P0nP7X_r73s-unsplash.jpg,23.16
11,"T-Shirt Col V Premium",/Assets/Images/products/product_11_zoshua_colah_emmldnwor_i_unsplash.jpg,3,triyansh-gill-qnhuX2HKETk-unsplash.jpg,21.57
11,"T-Shirt Col V Premium",/Assets/Images/products/product_11_zoshua_colah_emmldnwor_i_unsplash.jpg,4,deon-collison-Rk62VPlcZqw-unsplash.jpg,20.4
11,"T-Shirt Col V Premium",/Assets/Images/products/product_11_zoshua_colah_emmldnwor_i_unsplash.jpg,5,karsten-winegeart-7uFbY4uhiUk-unsplash.jpg,19.43
12,"Pull Laine M??rinos Gris",/Assets/Images/products/product_12_panos_katsigiannis_77pehhpzhe_unsplash.jpg,1,lucrezia-carnelos-6n4Y0oVz1oU-unsplash.jpg,22.44
12,"Pull Laine M??rinos Gris",/Assets/Images/products/product_12_panos_katsigiannis_77pehhpzhe_unsplash.jpg,2,robert-levonyan-XB93BUnJtqA-unsplash.jpg,22.19
12,"Pull Laine M??rinos Gris",/Assets/Images/products/product_12_panos_katsigiannis_77pehhpzhe_unsplash.jpg,3,zoshua-colah-eMMLDnWoR_I-unsplash.jpg,21.99
12,"Pull Laine M??rinos Gris",/Assets/Images/products/product_12_panos_katsigiannis_77pehhpzhe_unsplash.jpg,4,panos-katsigiannis--77PEhhPZhE-unsplash.jpg,21.92
12,"Pull Laine M??rinos Gris",/Assets/Images/products/product_12_panos_katsigiannis_77pehhpzhe_unsplash.jpg,5,nimble-made-GDebkNryTd4-unsplash.jpg,21.83
13,"Sneakers Blanches Design",/Assets/Images/products/product_13_savernake_knives_f4jl2ezowum_unsplash.jpg,1,savernake-knives-f4jl2ezowuM-unsplash.jpg,29.01
13,"Sneakers Blanches Design",/Assets/Images/products/product_13_savernake_knives_f4jl2ezowum_unsplash.jpg,2,samantha-sheppard-b8Q5fHBsyik-unsplash.jpg,25.14
13,"Sneakers Blanches Design",/Assets/Images/products/product_13_savernake_knives_f4jl2ezowum_unsplash.jpg,3,fashion-needles-bFzNGTK4TxM-unsplash.jpg,25
13,"Sneakers Blanches Design",/Assets/Images/products/product_13_savernake_knives_f4jl2ezowum_unsplash.jpg,4,anna-evans-eELIrBJXBPk-unsplash.jpg,24.8
